iteration	alpha_actor	alpha_critic	gamma	negReward	fit	ratio
372	0.05	0.05	0.620494	0.00685833	-451.108	1.95687e-07
373	0.05	0.05	0.620494	0.00685833	-451.108	2.49537e-13
374	0.05	0.05	0.620494	0.00685833	-451.108	4.33411e-36
375	0.05	0.05	0.620494	0.00685833	-451.108	8.33273e-14
376	0.05	0.05	0.620494	0.00685833	-451.108	1.86446e-37
377	0.05	0.05	0.620494	0.00685833	-451.108	5.2057e-09
378	0.05	0.05	0.620494	0.00685833	-451.108	1.7311e-18
379	0.05	0.05	0.620494	0.00685833	-451.108	2.04848e-20
380	0.05	0.05	0.620494	0.00685833	-451.108	7.03267e-08
381	0.05	0.05	0.620494	0.00685833	-451.108	9.79103e-30
382	0.05	0.05	0.620494	0.00685833	-451.108	6.76332e-17
383	0.05	0.05	0.620494	0.00685833	-451.108	9.55992e-22
384	0.05	0.05	0.620494	0.00685833	-451.108	1.77225e-19
385	0.05	0.05	0.620494	0.00685833	-451.108	1.77746e-19
386	0.05	0.05	0.620494	0.00685833	-451.108	8.00191e-13
387	0.05	0.05	0.620494	0.00685833	-451.108	1.70343e-11
388	0.05	0.05	0.620494	0.00685833	-451.108	8.32004e-08
389	0.05	0.05	0.620494	0.00685833	-451.108	1.11581e-20
390	0.05	0.05	0.620494	0.00685833	-451.108	2.6514e-32
391	0.05	0.05	0.620494	0.00685833	-451.108	1.67661e-29
392	0.05	0.05	0.620494	0.00685833	-451.108	6.84746e-42
393	0.05	0.05	0.620494	0.00685833	-451.108	8.1454e-15
394	0.05	0.05	0.620494	0.00685833	-451.108	5.65207e-26
395	0.05	0.05	0.620494	0.00685833	-451.108	1.87438e-07
396	0.05	0.05	0.620494	0.00685833	-451.108	1.18176e-09
397	0.05	0.05	0.620494	0.00685833	-451.108	1.23611e-27
398	0.05	0.05	0.620494	0.00685833	-451.108	1.53374e-25
399	0.05	0.05	0.620494	0.00685833	-451.108	6.47547e-08
400	0.05	0.05	0.620494	0.00685833	-451.108	7.03566e-07
