iteration	alpha_actor	alpha_critic	gamma	negReward	fit	ratio
134	0.01	0.01	0.10145	0.13657	-60.1753	1.01607
135	0.01	0.01	0.102681	0.137961	-60.4475	1.00452
136	0.01	0.01	0.0934574	0.135099	-59.5106	0.984501
137	0.01	0.01	0.0991303	0.143207	-62.3957	1.04848
138	0.01	0.01	0.0986822	0.122802	-59.9809	0.961299
139	0.01	0.01	0.0955221	0.109657	-59.1993	0.986968
140	0.01	0.01	0.09731	0.102069	-57.054	0.963761
141	0.01	0.01	0.0817487	0.0929213	-55.6725	0.975786
142	0.01	0.01	0.0864054	0.0925232	-56.5537	1.01583
143	0.01	0.01	0.0798326	0.0882686	-55.4798	0.981011
144	0.01	0.01	0.0757633	0.0851898	-54.4758	0.981902
145	0.01	0.01	0.100305	0.0786811	-54.9126	1.00802
146	0.01	0.01	0.105121	0.0788191	-56.2978	1.02523
147	0.01	0.01	0.117549	0.0724562	-54.7501	0.972508
148	0.01	0.01	0.117287	0.0681369	-55.3834	1.01157
149	0.01	0.01	0.136359	0.0690719	-55.2281	0.997196
150	0.01	0.01	0.118493	0.05951	-53.3696	0.966349
151	0.01	0.01	0.118702	0.0658118	-54.0079	1.01196
152	0.01	0.01	0.122895	0.0648985	-54.7264	1.0133
153	0.01	0.01	0.120609	0.0511559	-52.1646	0.953191
154	0.01	0.01	0.125619	0.0368529	-52.1267	0.999272
155	0.01	0.01	0.133698	0.0468019	-53.5451	1.02721
156	0.01	0.01	0.14129	0.0407466	-53.7992	1.00474
157	0.01	0.01	0.151031	0.0476898	-52.9539	0.984289
158	0.01	0.01	0.161312	0.0596071	-54.176	1.02308
159	0.01	0.01	0.131651	0.0666697	-53.8804	0.994544
160	0.01	0.01	0.134804	0.0619198	-54.5425	1.01229
161	0.01	0.01	0.162532	0.0675718	-53.9305	0.988781
162	0.01	0.01	0.162526	0.0505562	-54.6876	1.01404
163	0.01	0.01	0.157611	0.0423674	-53.0333	0.969751
164	0.01	0.01	0.182117	0.0311983	-51.3269	0.967824
165	0.01	0.01	0.188002	0.0382304	-52.3907	1.02073
166	0.01	0.01	0.185028	0.0272432	-51.9948	0.992445
167	0.01	0.01	0.184593	0.0310033	-51.4122	0.988794
168	0.01	0.01	0.182998	0.0123413	-49.7723	0.968102
169	0.01	0.01	0.174928	0.0142838	-50.6097	1.01682
170	0.01	0.01	0.176536	0.0140679	-51.0702	1.0091
171	0.01	0.01	0.173277	0	-49.7947	0.975026
